"osid","itemid","itemqty","purrate","itemmrp","itemsalerate","entrydate","empid"
"OS1-14526","6052","16.00","51.00","85.00","57.00","2023-02-22","100"
"OS1-14527","6920","1.00","45.45","50.00","48.00","2023-02-22","100"
"OS1-14528","13166","10.00","3.65","10.00","5.00","2023-02-22","100"
"OS1-14529","6315","2.00","115.00","240.00","130.00","2023-02-22","100"
"OS1-14530","1639","1.00","207.50","235.00","225.00","2023-02-22","100"
"OS1-14531","11591","1.00","15.83","20.00","19.00","2023-02-22","100"
"OS1-14532","7815","1.00","64.00","85.00","77.00","2023-02-22","100"
"OS1-14533","12784","1.00","0.01","99.00","89.10","2023-02-22","100"
"OS1-14534","2619","1.00","294.82","345.00","327.00","2023-02-22","100"
"OS1-14535","12732","1.00","126.00","180.00","144.00","2023-02-22","100"
"OS1-14536","13818","1.00","0.00","649.00","656.00","2023-02-22","100"
"OS1-14537","13587","3.00","14.44","30.00","20.00","2023-02-22","100"
"OS1-14538","13587","5.00","14.44","30.00","20.00","2023-02-22","100"
"OS1-14539","13586","1.00","45.00","60.00","55.00","2023-02-22","100"
"OS1-14540","13488","1.00","50.00","70.00","58.00","2023-02-22","100"
"OS1-14541","5599","1.00","28.50","32.00","32.00","2023-02-22","100"
"OS1-14542","7735","1.00","70.00","140.00","85.00","2023-02-22","100"
"OS1-14543","1729","1.00","145.00","150.00","142.00","2023-02-22","134"
"OS1-14544","8588","1.00","46.00","70.00","60.00","2023-02-22","134"
"OS1-14545","8588","1.00","46.00","70.00","60.00","2023-02-22","134"
"OS1-14546","12841","1.00","50.00","80.00","64.00","2023-02-22","134"
"OS1-14547","6315","1.00","115.00","240.00","130.00","2023-02-22","134"
"OS1-14548","13544","10.00","70.00","85.00","80.00","2023-02-22","134"
"OS1-14549","2686","1.00","594.00","959.00","859.00","2023-02-22","134"
"OS1-14550","2462","1.00","25.00","30.00","28.00","2023-02-22","134"
"OS1-14551","8725","1.00","84.00","105.00","94.50","2023-02-22","134"
"OS1-14552","13586","1.00","45.00","60.00","55.00","2023-02-22","134"
"OS1-14553","11174","1.00","20.00","40.00","30.00","2023-02-22","134"
"OS1-14554","13483","1.00","135.00","199.00","165.00","2023-02-22","134"
"OS1-14491","12182","3.00","15.50","18.00","18.00","2023-02-21","100"
"OS1-14492","13166","7.00","3.65","10.00","5.00","2023-02-21","100"
"OS1-14493","13166","7.00","3.65","10.00","5.00","2023-02-21","100"
"OS1-14494","13166","7.00","3.65","10.00","5.00","2023-02-21","100"
"OS1-14495","12784","1.00","0.01","99.00","89.10","2023-02-21","100"
"OS1-14496","7737","1.00","70.00","140.00","85.00","2023-02-21","131"
"OS1-14497","7736","1.00","70.00","140.00","85.00","2023-02-21","131"
"OS1-14498","5961","1.00","52.69","80.00","70.00","2023-02-21","100"
"OS1-14499","6557","1.00","15.00","25.00","22.00","2023-02-21","100"
"OS1-14500","8586","1.00","46.00","70.00","60.00","2023-02-21","134"
"OS1-14501","8591","1.00","46.00","70.00","60.00","2023-02-21","134"
"OS1-14502","7325","1.00","30.00","40.00","34.00","2023-02-21","134"
"OS1-14503","7325","1.00","30.00","40.00","34.00","2023-02-21","134"
"OS1-14504","2141","1.00","157.10","177.00","170.00","2023-02-21","134"
"OS1-14505","6315","1.00","115.00","240.00","130.00","2023-02-21","134"
"OS1-14506","6315","3.00","115.00","240.00","130.00","2023-02-21","131"
"OS1-14507","12026","1.00","101.20","135.00","114.75","2023-02-21","131"
"OS1-14508","6557","1.00","15.00","25.00","22.00","2023-02-21","134"
"OS1-14509","6557","1.00","15.00","25.00","22.00","2023-02-21","134"
"OS1-14510","8824","2.00","65.00","159.00","79.50","2023-02-21","134"
"OS1-14511","6628","1.00","40.35","75.00","48.00","2023-02-21","131"
"OS1-14512","13544","1.00","0.00","85.00","76.00","2023-02-21","134"
"OS1-14513","13024","1.00","270.00","360.00","320.00","2023-02-21","134"
"OS1-14514","8817","1.00","60.00","149.00","74.50","2023-02-21","134"
"OS1-14515","6315","1.00","115.00","240.00","130.00","2023-02-21","134"
"OS1-14516","8061","1.00","135.60","199.00","149.00","2023-02-21","134"
"OS1-14517","6557","1.00","15.00","25.00","22.00","2023-02-21","134"
"OS1-14475","6152","10.00","24.00","55.00","30.00","2023-02-20","100"
"OS1-14476","7735","1.00","70.00","140.00","85.00","2023-02-20","100"
"OS1-14477","5965","1.00","66.00","105.00","78.00","2023-02-20","131"
"OS1-14478","5965","1.00","66.00","105.00","78.00","2023-02-20","131"
"OS1-14479","6549","10.00","4.12","8.00","5.00","2023-02-20","100"
"OS1-14480","6315","1.00","115.00","240.00","130.00","2023-02-20","100"
"OS1-14481","13490","1.00","50.00","70.00","58.00","2023-02-20","100"
"OS1-14482","6315","2.00","115.00","240.00","130.00","2023-02-20","131"
"OS1-14483","6549","100.00","4.12","8.00","5.00","2023-02-20","600"
"OS1-14484","6820","1.00","18.00","35.00","25.00","2023-02-20","204"
"OS1-14485","6820","1.00","18.00","35.00","25.00","2023-02-20","204"
"OS1-14486","8074","1.00","24.00","55.00","35.00","2023-02-20","204"
"OS1-14487","13698","1.00","65.00","95.00","85.00","2023-02-20","131"
"OS1-14488","7735","1.00","70.00","140.00","85.00","2023-02-20","600"
"OS1-14489","12850","2.00","15.00","20.00","18.00","2023-02-20","600"
"OS1-14490","12850","2.00","15.00","20.00","18.00","2023-02-20","600"
"OS1-14442","685","1.00","218.02","275.00","247.50","2023-02-19","600"
"OS1-14443","8824","1.00","65.00","159.00","79.50","2023-02-19","600"
"OS1-14444","8819","1.00","60.00","149.00","74.50","2023-02-19","600"
"OS1-14445","12900","2.00","60.45","150.00","70.00","2023-02-19","600"
"OS1-14446","13588","1.00","100.00","165.00","110.00","2023-02-19","600"
"OS1-14447","13588","4.00","100.00","165.00","110.00","2023-02-19","600"
"OS1-14448","5599","2.00","28.50","32.00","32.00","2023-02-19","131"
"OS1-14449","2560","1.00","25.64","30.00","29.00","2023-02-19","600"
"OS1-14450","13836","1.00","80.75","95.00","88.00","2023-02-19","600"
"OS1-14451","13662","2.00","30.00","75.00","37.50","2023-02-19","600"
"OS1-14452","8824","11.00","65.00","159.00","79.50","2023-02-19","600"
"OS1-14453","6683","10.00","4.50","7.00","6.50","2023-02-19","600"
"OS1-14454","8587","1.00","46.00","70.00","60.00","2023-02-19","600"
"OS1-14455","2693","1.00","38.31","48.00","45.00","2023-02-19","600"
"OS1-14456","2141","1.00","157.10","177.00","170.00","2023-02-19","600"
"OS1-14457","8418","1.00","4.00","5.00","5.00","2023-02-19","600"
"OS1-14458","9420","1.00","73.93","90.00","85.50","2023-02-19","600"
"OS1-14459","7737","1.00","70.00","140.00","85.00","2023-02-19","600"
"OS1-14460","6152","1.00","24.00","55.00","30.00","2023-02-19","600"
"OS1-14461","1639","1.00","207.50","235.00","225.00","2023-02-19","204"
"OS1-14462","6059","1.00","110.00","145.00","118.00","2023-02-19","204"
"OS1-14463","11901","4.00","48.75","65.00","32.50","2023-02-19","204"
"OS1-14464","6345","1.00","13.00","22.50","20.00","2023-02-19","600"
"OS1-14465","99","2.00","45.00","65.00","55.00","2023-02-19","600"
"OS1-14466","99","1.00","45.00","65.00","55.00","2023-02-19","204"
"OS1-14467","8131","2.00","70.00","140.00","85.00","2023-02-19","204"
"OS1-14468","6405","1.00","57.00","65.00","68.00","2023-02-19","131"
"OS1-14469","10279","1.00","20.00","45.00","27.00","2023-02-19","204"
"OS1-14470","6557","1.00","15.00","25.00","22.00","2023-02-19","204"
"OS1-14471","5961","1.00","52.69","80.00","70.00","2023-02-19","204"
"OS1-14472","8418","5.00","4.00","5.00","5.00","2023-02-19","204"
"OS1-14473","7988","1.00","9.17","20.00","15.00","2023-02-19","204"
"OS1-14474","7325","1.00","30.00","40.00","34.00","2023-02-19","204"
"OS1-14400","13728","1.00","0.00","320.00","0.00","2023-02-18","100"
"OS1-14401","13728","1.00","0.00","320.00","280.00","2023-02-18","100"
"OS1-14402","13836","12.00","80.75","95.00","88.00","2023-02-18","204"
"OS1-14403","2901","1.00","80.73","115.00","91.00","2023-02-18","100"
"OS1-14404","2900","1.00","87.75","125.00","98.00","2023-02-18","100"
"OS1-14405","2900","1.00","87.75","125.00","98.00","2023-02-18","131"
"OS1-14406","8418","2.00","4.00","5.00","5.00","2023-02-18","100"
"OS1-14407","8742","1.00","32.00","40.00","36.00","2023-02-18","100"
"OS1-14408","11768","1.00","35.08","45.00","38.25","2023-02-18","100"
"OS1-14409","11174","1.00","20.00","40.00","30.00","2023-02-18","100"
"OS1-14410","9757","1.00","45.00","60.00","46.00","2023-02-18","131"
"OS1-14411","5961","1.00","52.69","80.00","70.00","2023-02-18","100"
"OS1-14412","11174","1.00","20.00","40.00","30.00","2023-02-18","100"
"OS1-14413","12900","2.00","60.45","150.00","70.00","2023-02-18","600"
"OS1-14414","5965","1.00","66.00","105.00","78.00","2023-02-18","600"
"OS1-14415","13836","1.00","80.75","95.00","88.00","2023-02-18","600"
"OS1-14416","8676","1.00","28.74","35.00","32.50","2023-02-18","600"
"OS1-14417","13584","1.00","8.29","20.00","15.00","2023-02-18","600"
"OS1-14418","6105","1.00","55.00","70.00","63.00","2023-02-18","100"
"OS1-14419","6105","1.00","55.00","70.00","63.00","2023-02-18","204"
"OS1-14420","2184","1.00","21.29","30.00","28.00","2023-02-18","600"
"OS1-14421","2560","1.00","25.64","30.00","29.00","2023-02-18","600"
"OS1-14422","13836","2.00","80.75","95.00","88.00","2023-02-18","600"
"OS1-14423","5961","1.00","52.69","80.00","70.00","2023-02-18","600"
"OS1-14424","12900","1.00","60.45","150.00","70.00","2023-02-18","600"
"OS1-14425","2972","1.00","19.20","28.00","26.00","2023-02-18","600"
"OS1-14426","1639","1.00","207.50","235.00","225.00","2023-02-18","131"
"OS1-14427","6021","1.00","30.00","50.00","40.00","2023-02-18","131"
"OS1-14428","5965","1.00","66.00","105.00","78.00","2023-02-18","600"
"OS1-14429","6021","2.00","30.00","50.00","40.00","2023-02-18","131"
"OS1-14430","5965","1.00","66.00","105.00","78.00","2023-02-18","131"
"OS1-14431","13836","1.00","80.75","95.00","88.00","2023-02-18","600"
"OS1-14432","6152","2.00","24.00","55.00","30.00","2023-02-18","131"
"OS1-14433","11174","1.00","20.00","40.00","30.00","2023-02-18","600"
"OS1-14434","13836","1.00","80.75","95.00","88.00","2023-02-18","600"
"OS1-14435","5961","1.00","52.69","80.00","70.00","2023-02-18","131"
"OS1-14436","2972","1.00","19.20","28.00","26.00","2023-02-18","600"
"OS1-14437","8074","1.00","24.00","55.00","35.00","2023-02-18","600"
"OS1-14438","8418","4.00","4.00","5.00","5.00","2023-02-18","204"
"OS1-14439","13584","1.00","8.29","20.00","15.00","2023-02-18","600"
"OS1-14440","13490","1.00","50.00","70.00","58.00","2023-02-18","600"
"OS1-14441","13584","1.00","8.29","20.00","15.00","2023-02-18","600"
"OS1-14376","1996","10.00","56.00","64.00","60.00","2023-02-17","131"
"OS1-14377","2901","1.00","80.73","115.00","91.00","2023-02-17","134"
"OS1-14378","9757","1.00","45.00","60.00","46.00","2023-02-17","134"
"OS1-14379","2898","1.00","168.00","380.00","180.00","2023-02-17","131"
"OS1-14380","2260","1.00","455.81","511.00","465.00","2023-02-17","134"
"OS1-14381","2903","1.00","77.21","110.00","88.00","2023-02-17","134"
"OS1-14382","2900","1.00","87.75","125.00","98.00","2023-02-17","134"
"OS1-14383","6549","100.00","4.12","8.00","5.00","2023-02-17","134"
"OS1-14384","2898","2.00","168.00","380.00","180.00","2023-02-17","131"
"OS1-14385","1997","3.00","37.50","45.00","42.75","2023-02-17","131"
"OS1-14386","5965","1.00","66.00","105.00","78.00","2023-02-17","131"
"OS1-14387","5965","1.00","66.00","105.00","78.00","2023-02-17","131"
"OS1-14388","9757","2.00","45.00","60.00","46.00","2023-02-17","134"
"OS1-14389","12485","1.00","79.99","100.00","90.00","2023-02-17","134"
"OS1-14390","2477","1.00","35.09","40.00","36.00","2023-02-17","134"
"OS1-14391","6557","1.00","15.00","25.00","22.00","2023-02-17","134"
"OS1-14392","7799","1.00","33.25","40.00","38.00","2023-02-17","204"
"OS1-14393","13026","1.00","218.00","299.00","254.00","2023-02-17","134"
"OS1-14394","9757","2.00","45.00","60.00","46.00","2023-02-17","134"
"OS1-14395","6887","1.00","206.76","235.00","225.00","2023-02-17","131"
"OS1-14396","1639","1.00","207.50","235.00","225.00","2023-02-17","131"
"OS1-14397","13731","1.00","0.00","55.00","50.00","2023-02-17","134"
"OS1-14398","6405","1.00","57.00","65.00","68.00","2023-02-17","134"
"OS1-14399","8681","1.00","110.27","130.00","119.60","2023-02-17","134"
"OS1-14347","12900","1.00","60.45","150.00","70.00","2023-02-17","100"
"OS1-14348","8593","1.00","46.00","70.00","60.00","2023-02-17","100"
"OS1-14349","11390","1.00","126.68","190.00","161.50","2023-02-17","100"
"OS1-14350","1996","1.00","56.00","64.00","60.00","2023-02-17","100"
"OS1-14351","13698","1.00","65.00","95.00","85.00","2023-02-17","100"
"OS1-14352","8074","1.00","24.00","55.00","35.00","2023-02-17","100"
"OS1-14353","6549","10.00","4.12","8.00","5.00","2023-02-17","100"
"OS1-14354","2900","1.00","87.75","125.00","98.00","2023-02-17","100"
"OS1-14355","2454","1.00","235.00","266.00","239.00","2023-02-17","131"
"OS1-14356","2901","1.00","80.73","115.00","91.00","2023-02-17","131"
"OS1-14357","2900","3.00","87.75","125.00","98.00","2023-02-17","131"
"OS1-14358","1907","1.00","241.00","310.00","285.00","2023-02-17","100"
"OS1-14359","8418","1.00","4.00","5.00","5.00","2023-02-17","100"
"OS1-14360","661","1.00","90.00","135.00","114.75","2023-02-17","100"
"OS1-14361","8418","1.00","4.00","5.00","5.00","2023-02-17","100"
"OS1-14362","2900","1.00","87.75","125.00","98.00","2023-02-17","100"
"OS1-14363","2901","1.00","80.73","115.00","91.00","2023-02-17","100"
"OS1-14364","8418","4.00","4.00","5.00","5.00","2023-02-17","100"
"OS1-14365","2900","1.00","87.75","125.00","98.00","2023-02-17","100"
"OS1-14366","12900","1.00","60.45","150.00","70.00","2023-02-17","100"
"OS1-14367","8390","2.00","110.00","160.00","130.00","2023-02-17","100"
"OS1-14368","6152","2.00","24.00","55.00","30.00","2023-02-17","100"
"OS1-14369","8680","1.00","104.47","130.00","120.00","2023-02-17","100"
"OS1-14370","12850","1.00","15.00","20.00","18.00","2023-02-17","100"
"OS1-14371","2898","1.00","168.00","380.00","180.00","2023-02-17","134"
"OS1-14372","8824","1.00","65.00","159.00","79.50","2023-02-17","134"
"OS1-14373","8824","1.00","65.00","159.00","79.50","2023-02-17","134"
"OS1-14374","8584","1.00","46.00","70.00","60.00","2023-02-17","134"
"OS1-14375","6549","10.00","4.12","8.00","5.00","2023-02-17","131"
"OS1-14316","6645","1.00","5.00","15.00","8.00","2023-02-16","100"
"OS1-14317","9760","2.00","195.30","279.00","223.20","2023-02-16","204"
"OS1-14318","12099","1.00","50.00","60.00","54.00","2023-02-16","131"
"OS1-14319","8817","2.00","60.00","149.00","74.50","2023-02-16","600"
"OS1-14320","12900","1.00","60.45","150.00","70.00","2023-02-16","600"
"OS1-14321","4976","1.00","57.89","160.00","80.00","2023-02-16","600"
"OS1-14322","9420","1.00","73.93","90.00","85.50","2023-02-16","600"
"OS1-14323","12026","1.00","90.00","135.00","115.00","2023-02-16","600"
"OS1-14324","3912","1.00","175.91","225.00","205.00","2023-02-16","600"
"OS1-14325","8817","2.00","60.00","149.00","74.50","2023-02-16","600"
"OS1-14326","2900","1.00","87.75","125.00","98.00","2023-02-16","600"
"OS1-14327","8418","11.00","4.00","5.00","5.00","2023-02-16","600"
"OS1-14328","2900","1.00","87.75","125.00","98.00","2023-02-16","131"
"OS1-14329","8817","1.00","60.00","149.00","74.50","2023-02-16","600"
"OS1-14330","13831","1.00","0.00","299.00","275.00","2023-02-16","131"
"OS1-14331","11640","1.00","335.00","400.00","380.00","2023-02-16","131"
"OS1-14332","8817","2.00","60.00","149.00","74.50","2023-02-16","600"
"OS1-14333","8418","2.00","4.00","5.00","5.00","2023-02-16","204"
"OS1-14334","13731","1.00","0.00","55.00","50.00","2023-02-16","600"
"OS1-14335","738","1.00","752.36","899.00","827.00","2023-02-16","600"
"OS1-14336","6579","1.00","312.50","385.00","345.00","2023-02-16","600"
"OS1-14337","2900","1.00","87.75","125.00","98.00","2023-02-16","600"
"OS1-14338","11174","1.00","20.00","40.00","30.00","2023-02-16","600"
"OS1-14339","2920","2.00","96.80","220.00","110.00","2023-02-16","600"
"OS1-14340","6152","1.00","24.00","55.00","30.00","2023-02-16","600"
"OS1-14341","6557","1.00","15.00","25.00","22.00","2023-02-16","600"
"OS1-14342","537","1.00","80.35","90.00","83.00","2023-02-16","131"
"OS1-14343","2900","1.00","87.75","125.00","98.00","2023-02-16","131"
"OS1-14344","6152","1.00","24.00","55.00","30.00","2023-02-16","600"
"OS1-14345","2900","1.00","87.75","125.00","98.00","2023-02-16","131"
"OS1-14346","2912","1.00","87.75","125.00","106.25","2023-02-16","600"
"OS1-14270","6152","1.00","24.00","55.00","30.00","2023-02-15","131"
"OS1-14271","6404","1.00","275.00","340.00","295.00","2023-02-15","131"
"OS1-14272","6152","1.00","24.00","55.00","30.00","2023-02-15","100"
"OS1-14273","13584","36.00","8.29","20.00","15.00","2023-02-15","100"
"OS1-14274","7736","1.00","70.00","140.00","85.00","2023-02-15","100"
"OS1-14275","9757","5.00","45.00","60.00","46.00","2023-02-15","131"
"OS1-14276","1996","1.00","56.00","64.00","60.00","2023-02-15","100"
"OS1-14277","12280","8.00","22.41","25.00","24.00","2023-02-15","100"
"OS1-14278","12416","1.00","187.20","260.00","221.00","2023-02-15","131"
"OS1-14279","9757","1.00","45.00","60.00","46.00","2023-02-15","100"
"OS1-14280","5928","1.00","51.35","95.00","59.00","2023-02-15","100"
"OS1-14281","8950","4.00","1.18","130.00","99.00","2023-02-15","131"
"OS1-14282","1996","1.00","56.00","64.00","60.00","2023-02-15","100"
"OS1-14283","9757","2.00","45.00","60.00","46.00","2023-02-15","131"
"OS1-14284","7735","1.00","70.00","140.00","85.00","2023-02-15","131"
"OS1-14285","1996","1.00","56.00","64.00","60.00","2023-02-15","600"
"OS1-14286","2900","1.00","87.75","125.00","98.00","2023-02-15","131"
"OS1-14287","9757","1.00","45.00","60.00","46.00","2023-02-15","600"
"OS1-14288","9757","1.00","45.00","60.00","46.00","2023-02-15","131"
"OS1-14289","9760","1.00","195.30","279.00","223.20","2023-02-15","600"
"OS1-14290","9757","2.00","45.00","60.00","46.00","2023-02-15","600"
"OS1-14291","9757","10.00","45.00","60.00","46.00","2023-02-15","600"
"OS1-14292","2903","1.00","77.21","110.00","88.00","2023-02-15","600"
"OS1-14293","6405","1.00","57.00","65.00","68.00","2023-02-15","131"
"OS1-14294","9757","125.00","45.00","60.00","50.00","2023-02-15","131"
"OS1-14295","2903","1.00","77.21","110.00","88.00","2023-02-15","600"
"OS1-14296","8586","1.00","46.00","70.00","60.00","2023-02-15","131"
"OS1-14297","12852","2.00","15.00","20.00","19.00","2023-02-15","131"
"OS1-14298","2901","2.00","80.73","115.00","91.00","2023-02-15","131"
"OS1-14299","13451","1.00","170.10","210.00","185.00","2023-02-15","600"
"OS1-14300","2900","1.00","87.75","125.00","98.00","2023-02-15","131"
"OS1-14301","12544","1.00","100.00","135.00","120.00","2023-02-15","600"
"OS1-14302","12095","1.00","30.00","60.00","51.00","2023-02-15","600"
"OS1-14303","1996","1.00","56.00","64.00","60.00","2023-02-15","600"
"OS1-14304","3266","1.00","87.30","100.00","85.00","2023-02-15","204"
"OS1-14305","3266","1.00","87.30","100.00","85.00","2023-02-15","204"
"OS1-14306","13729","1.00","0.00","320.00","272.00","2023-02-15","204"
"OS1-14307","2647","2.00","8.75","12.00","10.00","2023-02-15","600"
"OS1-14308","6557","1.00","15.00","25.00","22.00","2023-02-15","600"
"OS1-14309","7737","1.00","70.00","140.00","85.00","2023-02-15","600"
"OS1-14310","2647","3.00","8.75","12.00","10.00","2023-02-15","600"
"OS1-14311","13584","1.00","8.29","20.00","15.00","2023-02-15","600"
"OS1-14312","2912","1.00","87.75","125.00","106.25","2023-02-15","600"
"OS1-14313","6683","1.00","4.50","7.00","6.50","2023-02-15","131"
"OS1-14314","8680","1.00","104.47","130.00","120.00","2023-02-15","600"
"OS1-14315","6152","1.00","24.00","55.00","30.00","2023-02-15","600"
"OS1-14257","6005","2.00","7.87","35.00","17.00","2023-02-14","100"
"OS1-14258","13594","1.00","10.60","20.00","16.00","2023-02-14","100"
"OS1-14259","4625","2.00","0.00","20.00","19.00","2023-02-14","100"
"OS1-14260","8593","1.00","46.00","70.00","60.00","2023-02-14","100"
"OS1-14261","6902","1.00","87.37","96.00","92.00","2023-02-14","134"
"OS1-14262","4625","1.00","0.00","20.00","19.00","2023-02-14","600"
"OS1-14263","6557","1.00","15.00","25.00","22.00","2023-02-14","600"
"OS1-14264","11455","1.00","166.43","199.00","179.10","2023-02-14","600"
"OS1-14265","2647","5.00","8.75","12.00","10.00","2023-02-14","600"
"OS1-14266","9757","10.00","45.00","60.00","46.00","2023-02-14","131"
"OS1-14267","3905","1.00","144.72","199.00","179.00","2023-02-14","600"
"OS1-14268","2647","4.00","8.75","12.00","10.00","2023-02-14","600"
"OS1-14269","9478","1.00","3.50","8.00","5.00","2023-02-14","600"
"OS1-14237","10547","1.00","0.01","40.00","35.00","2023-02-13","100"
"OS1-14238","6152","5.00","24.00","55.00","30.00","2023-02-13","100"
"OS1-14239","6555","1.00","20.00","30.00","25.00","2023-02-13","100"
"OS1-14240","3919","1.00","86.46","99.00","94.05","2023-02-13","100"
"OS1-14241","1907","1.00","241.00","310.00","285.00","2023-02-13","100"
"OS1-14242","12784","1.00","0.01","99.00","89.10","2023-02-13","600"
"OS1-14243","6549","1.00","4.12","8.00","5.00","2023-02-13","100"
"OS1-14244","726","1.00","61.60","75.00","71.50","2023-02-13","131"
"OS1-14245","6005","1.00","7.87","35.00","17.00","2023-02-13","100"
"OS1-14246","6549","100.00","4.12","8.00","5.00","2023-02-13","100"
"OS1-14247","6005","2.00","7.87","35.00","17.00","2023-02-13","131"
"OS1-14248","11044","2.00","22.00","33.00","28.00","2023-02-13","100"
"OS1-14249","9044","1.00","437.50","600.00","499.00","2023-02-13","600"
"OS1-14250","8587","1.00","46.00","70.00","60.00","2023-02-13","600"
"OS1-14251","542","1.00","131.99","198.00","158.00","2023-02-13","600"
"OS1-14252","1342","1.00","58.12","80.00","75.00","2023-02-13","600"
"OS1-14253","6557","1.00","15.00","25.00","22.00","2023-02-13","131"
"OS1-14254","9420","1.00","73.93","90.00","85.50","2023-02-13","600"
"OS1-14255","13731","1.00","0.00","55.00","50.00","2023-02-13","600"
"OS1-14256","8950","1.00","1.18","130.00","99.00","2023-02-13","600"
"OS1-14223","3390","1.00","17.20","20.00","20.00","2023-02-12","100"
"OS1-14224","5947","1.00","13.75","56.00","23.00","2023-02-12","100"
"OS1-14225","3390","10.00","17.20","20.00","20.00","2023-02-12","100"
"OS1-14226","13585","20.00","5.00","10.00","10.00","2023-02-12","100"
"OS1-14227","8588","1.00","46.00","70.00","60.00","2023-02-12","100"
"OS1-14228","99","2.00","45.00","65.00","55.00","2023-02-12","100"
"OS1-14229","1996","1.00","56.00","64.00","60.00","2023-02-12","100"
"OS1-14230","3390","1.00","17.20","20.00","19.00","2023-02-12","100"
"OS1-14231","1996","2.00","56.00","64.00","60.00","2023-02-12","100"
"OS1-14232","6116","1.00","23.10","55.00","35.00","2023-02-12","600"
"OS1-14233","12785","3.00","79.20","99.00","89.10","2023-02-12","600"
"OS1-14234","12848","5.00","15.00","20.00","19.00","2023-02-12","600"
"OS1-14235","256","1.00","140.00","175.00","162.00","2023-02-12","600"
"OS1-14236","8625","1.00","15.48","20.00","18.00","2023-02-12","600"
"OS1-14202","5965","1.00","66.00","95.00","75.00","2023-02-11","100"
"OS1-14203","7736","1.00","70.00","140.00","85.00","2023-02-11","100"
"OS1-14204","8131","1.00","70.00","140.00","85.00","2023-02-11","100"
"OS1-14205","13588","1.00","100.00","165.00","110.00","2023-02-11","100"
"OS1-14206","13588","1.00","100.00","165.00","110.00","2023-02-11","100"
"OS1-14207","13698","2.00","65.00","95.00","85.00","2023-02-11","131"
"OS1-14208","8944","1.00","60.35","95.00","70.00","2023-02-11","100"
"OS1-14209","5965","2.00","66.00","95.00","75.00","2023-02-11","131"
"OS1-14210","6405","1.00","57.00","65.00","68.00","2023-02-11","100"
"OS1-14211","582","1.00","404.51","449.00","425.00","2023-02-11","100"
"OS1-14212","99","1.00","45.00","65.00","55.00","2023-02-11","600"
"OS1-14213","1996","2.00","56.00","64.00","60.00","2023-02-11","131"
"OS1-14214","6557","1.00","15.00","25.00","22.00","2023-02-11","600"
"OS1-14215","6578","1.00","27.50","55.00","38.00","2023-02-11","600"
"OS1-14216","726","1.00","61.60","75.00","71.50","2023-02-11","600"
"OS1-14217","4625","1.00","0.00","20.00","19.00","2023-02-11","600"
"OS1-14218","11453","1.00","256.19","299.00","285.00","2023-02-11","600"
"OS1-14219","1996","1.00","56.00","64.00","60.00","2023-02-11","131"
"OS1-14220","13731","1.00","0.00","55.00","50.00","2023-02-11","600"
"OS1-14221","4625","1.00","0.00","20.00","19.00","2023-02-11","600"
"OS1-14222","13587","1.00","14.44","30.00","20.00","2023-02-11","600"
"OS1-14172","729","1.00","149.25","199.00","169.15","2023-02-10","100"
"OS1-14173","13588","1.00","100.00","165.00","110.00","2023-02-10","100"
"OS1-14174","4434","1.00","8.01","10.00","10.00","2023-02-10","100"
"OS1-14175","2415","1.00","146.19","180.00","160.00","2023-02-10","100"
"OS1-14176","8625","1.00","15.48","20.00","18.00","2023-02-10","100"
"OS1-14177","6549","1.00","4.12","8.00","5.00","2023-02-10","100"
"OS1-14178","6549","100.00","4.12","8.00","5.00","2023-02-10","204"
"OS1-14179","13588","1.00","100.00","165.00","110.00","2023-02-10","100"
"OS1-14180","1996","1.00","56.00","64.00","60.00","2023-02-10","131"
"OS1-14181","1996","1.00","56.00","64.00","60.00","2023-02-10","131"
"OS1-14182","11405","1.00","66.97","75.00","72.00","2023-02-10","100"
"OS1-14183","701","1.00","58.04","65.00","63.00","2023-02-10","100"
"OS1-14184","3066","1.00","84.97","105.00","94.50","2023-02-10","131"
"OS1-14185","5978","1.00","40.00","65.00","50.00","2023-02-10","131"
"OS1-14186","5965","1.00","66.00","95.00","75.00","2023-02-10","131"
"OS1-14187","4434","1.00","8.01","10.00","10.00","2023-02-10","100"
"OS1-14188","4625","1.00","0.00","20.00","19.00","2023-02-10","600"
"OS1-14189","2293","1.00","112.00","140.00","126.00","2023-02-10","600"
"OS1-14190","4325","1.00","32.90","39.00","36.00","2023-02-10","600"
"OS1-14191","2290","1.00","112.00","140.00","126.00","2023-02-10","600"
"OS1-14192","8591","1.00","46.00","70.00","60.00","2023-02-10","600"
"OS1-14193","8592","1.00","46.00","70.00","60.00","2023-02-10","600"
"OS1-14194","8593","1.00","46.00","70.00","60.00","2023-02-10","600"
"OS1-14195","8587","1.00","46.00","70.00","60.00","2023-02-10","600"
"OS1-14196","4573","1.00","35.75","55.00","44.00","2023-02-10","600"
"OS1-14197","4572","1.00","87.75","135.00","108.00","2023-02-10","600"
"OS1-14198","2293","1.00","112.00","140.00","126.00","2023-02-10","204"
"OS1-14199","6405","2.00","57.00","65.00","68.00","2023-02-10","600"
"OS1-14200","13738","1.00","61.20","70.00","65.00","2023-02-10","600"
"OS1-14201","685","1.00","218.02","275.00","247.50","2023-02-10","600"
"OS1-14136","542","1.00","131.99","198.00","158.00","2023-02-09","100"
"OS1-14137","4434","1.00","8.01","10.00","10.00","2023-02-09","131"
